Timestamp,Event,Object,Distance,Alert_Level,Action
2025-12-12T13:05:43.059587,PEDESTRIAN_DANGER,person,3.0,CRITICAL,Emergency brake required
2025-12-12T13:05:48.782266,PEDESTRIAN_DANGER,person,4.0,CRITICAL,Emergency brake required
2025-12-12T13:05:54.393644,PEDESTRIAN_DANGER,person,4.3,CRITICAL,Emergency brake required
2025-12-12T13:05:59.770936,PEDESTRIAN_DANGER,person,4.5,CRITICAL,Emergency brake required
2025-12-12T13:06:05.303069,PEDESTRIAN_DANGER,person,4.9,CRITICAL,Emergency brake required
2025-12-12T13:06:10.739516,PEDESTRIAN_DANGER,person,4.6,CRITICAL,Emergency brake required
2025-12-12T13:06:16.404521,PEDESTRIAN_DANGER,person,4.0,CRITICAL,Emergency brake required
2025-12-12T13:06:21.578734,PEDESTRIAN_DANGER,person,3.9,CRITICAL,Emergency brake required
2025-12-12T13:06:26.751972,PEDESTRIAN_DANGER,person,3.5,CRITICAL,Emergency brake required
2025-12-12T13:06:32.039488,PEDESTRIAN_DANGER,person,3.9,CRITICAL,Emergency brake required
2025-12-12T13:06:37.464476,PEDESTRIAN_DANGER,person,3.5,CRITICAL,Emergency brake required
